id,origin,book,details,character_count,word_count
0,Canadian,01 Nathaniel Mcdaniel and Bigbeards Hook by Evan Solomon,"01 Nathaniel Mcdaniel and Bigbeards Hook by Evan Solomon: Meet Nathaniel McDaniel, the mischievous hero of a delightful new series of adventures. In Bigbeard's Hook, Nate discovers Gramps' attic and a treasure trove ...",,
1,Canadian,02 Standard of Honor Book Two of the Templar Trilogy by Jack Whyte,"02 Standard of Honor Book Two of the Templar Trilogy by Jack Whyte: Jack Whyte's thrilling Templar Trilogy continues with Standard of Honor, in which oaths of loyalty and obedience are weighed against the virtues of honour ...",,
2,Canadian,03 Knights Templar Order in Chaos by Jack Whyte,"03 Knights Templar Order in Chaos by Jack Whyte: In the final novel in the Templar Trilogy, William St. Clair faces the end of the Order of the Temple of Solomon. Philip IV has arrested every Templar in ...",,
3,Canadian,100 Easy-to-Grow Native Plants for Canadian Gardens by Lorraine Johnson,100 Easy-to-Grow Native Plants for Canadian Gardens by Lorraine Johnson: The key to a carefree garden is to know which plants will thrive under local conditions and which ones are better left at the nursery. With watering ...,,
4,Canadian,10 Women by George Bowering,10 Women by George Bowering: Ten Women is a new collection of short fiction from one of Canada's preeminent writers. Each of these stories offers us a portrait of a woman with whom the ...,,
5,Canadian,12 Rose Street by Gail Bowen,12 Rose Street by Gail Bowen: The indomitable Joanne Kilbourn is back! From beloved author Gail Bowen comes the 15th installment in the nationally bestselling series. For readers of Louise ...,,
6,Canadian,12 Shades of Surrender by Anne Calhoun,"12 Shades of Surrender by Anne Calhoun: Are you ready to step deeper into the shade?If Fifty Shades of Grey has left you aching to expand your BDSM repertoire, the experts on erotic romance have ...",,
7,Canadian,13 Lives by Michael Pawlowski,"13 Lives by Michael Pawlowski: With stories that chronicle the abused, the homeless, the suicidal, those seeking a world away from the reserve, and those returning to the indigenous ...",,
8,Canadian,13 Ways of Looking at a Fat Girl by Mona Awad,13 Ways of Looking at a Fat Girl by Mona Awad: Winner of the Amazon.ca First Novel AwardShortlisted for the Scotiabank Giller PrizeLonglisted for the 2017 ;Stephen Leacock Memorial Medal for Humour ...,,
9,Canadian,150 Years of Stats Canada! by Stats Canada,"150 Years of Stats Canada! by Stats Canada: Canada's funniest online sensation is back to celebrate the country's 150th anniversarybigger, bolder, and only 10% reused material!Want to know what the ...",,
10,Canadian,1978 by Daniel Jones,"1978 by Daniel Jones: In this violent, raw, and often beautiful novel, Daniel Jones captures the long-vanished Toronto where a broke teen punk could buy a beer with a two-dollar ...",,
11,Canadian,1979 by Ray Robertson,"1979 by Ray Robertson: It's 1979 and Tom Buzby is thirteen years old and living in the small working- class city of Chatham, Ontario. So far, so normal. Except that Tom's dad is ...",,
12,Canadian,19 Knives by Mark Jarman,"19 Knives by Mark Jarman: With characters ranging from the desperate to the obsessive to the wildly comic, Mark Anthony Jarman's 19 Knives employs dazzling linguistic verve and ...",,
13,Canadian,1 Hour Photo by Tetsuro Shigematsu,"1 Hour Photo by Tetsuro Shigematsu: From the award-winning Canadian playwright, performer, and radio broadcaster Tetsuro Shigematsu comes 1 Hour Photo, the follow-up to his acclaimed one-man play ...",,
14,Canadian,2113 by Kevin J. Anderson,"2113 by Kevin J. Anderson: 18 exhilarating journeys into Rush-inspired worldsThe music of Rush, one of the most successful bands in history, is filled with fantastic stories, evocative ...",,
15,Canadian,26 Knots by Bindu Suresh,"26 Knots by Bindu Suresh: Grand in scope, spare in execution, and lush in language, 26 Knots is a fable-like tale of love, obsession, and everything in between. Araceli loves Adrien. ...",,
16,Canadian,2Instruction Manual for Swallowing by Adam Marek,"2Instruction Manual for Swallowing by Adam Marek: Exploring what happens when ordinary people collide with bizarre, fantastical situations, this collection of 14 short stories presents an engaging new voice in ...",,
17,Canadian,419 by Will Ferguson,"419 by Will Ferguson: From internationally bestselling travel writer Will Ferguson, author of Happinessâ¢ and Spanish Fly, comes a novel both epic in its sweep and intimate in its ...",,
18,Canadian,47 Sorrows by Janet Kellough,"47 Sorrows by Janet Kellough: In this third novel in the series, Thaddeus Lewis and his son journey into the heart of disaster.When the bloated corpse of a man dressed in women's clothing ...",,
19,Canadian,5000 Dead Ducks by CD Evans,"5000 Dead Ducks by CD Evans: Set in the fictional land of Alberia, 5000 Dead Ducks is about Mavis Wong, an enviro-science graduate who finds herself teamed up with a group of unscrupulous ...",,
20,Canadian,59 Glass Bridges by Steven Peters,"59 Glass Bridges by Steven Peters: In 59 Glass Bridges, an unnamed narrator travels through a maze that is at once mutable and immutable: walls fall to vine-filled forests, hallways to rivers, ...",,
21,Canadian,74 Miles Away by J.D. Carpenter,"74 Miles Away by J.D. Carpenter: Long-listed for the 2009 ReLit Award Because business is slow for retired homicide detective Campbell Young's new enterprise, A-1 Investigative ...",,
22,Canadian,7 Good Reasons Not To Be Good by John Gould,"7 Good Reasons Not To Be Good by John Gould: Seven Good Reasons Not to Be Good opens with a cryptic postcard from forty-something Matt to his oldest friend, Zane. Zane is dying  for ""good""  but Matt's ...",,
