title_url,title,authors,image,description
https://49thshelf.com/Books/S/Seed-of-Control,Seed of Control,Lawrence Verigin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seed-of-control/9781987857559_cover/368822154-1-eng-CA/9781987857559_cover_coverbookpage_embed.jpg,"Nick Barnes is back, setting off a chain of events that uncovers a conspiracy beyond moral comprehension against Earth’s entire population. The scheme has taken generations to develop and it’s on the cusp of being fully implemented. Agrochemical and pharmaceutical industrialist Dr. Hendrick Schmidt and media baron Davis Lovemark lead the scheme with the unerring belief that they are the stewards of humanity and that they alone have the right to decide the fate of the masses. Nick’s chase spans continents as he works desperately to foil Schmidt and Lovemark. But he quickly discovers that it might already be too late. Immerse yourself in the action and intrigue of this high concept thriller that may not be as far from reality as you might think.Winner of the 2016 CLUE Award for Eco/Natural Resources Thriller.First in Category at the 2017 Chanticleer Global Thrillers Award. "
https://49thshelf.com/Books/S/Seeds-and-Other-Stories,Seeds and Other Stories,Ursula Pflug,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seeds-and-other-stories/9781771337458_cover/424903654-1-eng-CA/9781771337458_cover_coverbookpage_embed.jpg,"In these stories seers and vagabonds, addicts and gardeners succeed and sometimes fail at creating new kinds of community against apocalyptic backdrops. They build gardens in the ruins, transport seeds and songs from one world to another and from dreams to waking life. Where do you plant a seed someone gave you in a dream? How do you build a world more free of trauma when it's all you've ever known? Sometimes the seed you wake up holding in your hand is the seed of a new world. "
https://49thshelf.com/Books/S/Seeing-Is-Believing3,Seeing Is Believing,Kate Austin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seeing-is-believing3/9780373881444_cover/420057793-1-eng-CA/9780373881444_cover_coverbookpage_embed.jpg,"There's a magic in life?But Ria Sterling has yet to embrace it, because she considers her ability to predict death from merely touching a photograph a curse. She yearns to use her sight to save just one life. On the other hand, tough-talking detective Carrick Jones and his partner profess not to care about saving anyone. But they do need Ria's help in solving a case. Instead, she predicts that Carrick's partner will die. Soon. And when her vision proves true, Ria goes from psychic to prime suspect.?The one thing she can't predict is her instant attraction to Carrick, a man who doesn't believe in the paranormal?only what his five senses tell him. But when danger threatens, Ria finally sees how to use her gift in a unique way. And to show Carrick the inexplicable power of a love where seeing really is believing.? "
https://49thshelf.com/Books/S/Seeing-Red10,Seeing Red,Shawn Sutherland,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seeing-red10/9781926942759_cover/180886793-1-eng-CA/9781926942759_cover_coverbookpage_embed.jpg,"Ethan Reid is a 24-year-old alcoholic who spends his nights drifting between bars, drinking excessively to the point where he can no longer remember. In Toronto he meets a beautiful girl named Natalie, who forces him to question his solitary lifestyle. But when their relationship turns sour, Ethan retreats into the city's underground drug world, spiraling further out of control as old wounds begin to resurface. Set over a weekend in 2010, Seeing Red lays open an overeducated, underemployed generation struggling to reconcile expectations with reality. It is sardonic, poignant, and wickedly funny. "
https://49thshelf.com/Books/S/Seeking-Shade,Seeking Shade,Frances Boyle,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seeking-shade/9780889844353_cover/421941327-1-eng-CA/9780889844353_cover_coverbookpage_embed.jpg,"In Frances Boyle's short story collection Seeking Shade, nuanced characters endure trauma, evolution and epiphany as they face challenges, make decisions, and suffer the inevitable consequences. "
https://49thshelf.com/Books/S/Seen-Reading,Seen Reading,Julie Wilson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seen-reading/9781554810796_cover/412506182-1-eng-CA/9781554810796_cover_coverbookpage_embed.jpg,"Seen Reading is the exciting debut collection of microfictions from Canada's pre-eminent literary voyeur, Julie Wilson. Based on the beloved online movement of the same name,Seen Reading collects more than a hundred fictions inspired by sightings of people reading on Toronto transit, each reader re-invented in a poetic piece of short fiction. Tender, poignant, and fun, Seen Reading offers readers an inspired fictional map while charting an urban centre's cultural commitment to books and literature. "
https://49thshelf.com/Books/S/Seep,Seep,W. Mark Giles,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seep/9781772140125_cover/421044774-1-eng-CA/9781772140125_cover_coverbookpage_embed.jpg,"wight Eliot was born on a baseball diamond, during a dugout-clearing brawl between his hometown team, The Seep Selects, and a team of barnstorming Cuban All Stars. Decades later, when he sees his childhood home being moved on a truck down the highway, he begins a quest to research the history of his hometown and of his family. Seep is being dismantled, and the land is being redeveloped as a master-planned recreational townsite to complement a nearby First Nations casino. And then his brother Darryl arrives on his doorstep with the force of a bus crash. In the face of the town's erasure, he tries to preserve its stories; so doing, he comes to question his own.&nbspSeep limns the tension between land development and landscape, trauma and nostalgia, dysfunction and intimacy in a narrative of twenty-first century Canada.Praise for Seep: ""Mark Giles assuredly steps in the footsteps of his predecessors who so engagingly limned the Alberta prairie: W.O. Mitchell, Henry Kreisel,W.P. Kinsella, and Robert Kroetsch. Giles' Seep is a wickedly wonderful account of how our senses of self and of place can be interrelated, with the swirl of emotions involved in each part of the equation making for a complicated world and illuminating fiction."" (Tom Wayman) "
https://49thshelf.com/Books/S/Seer-of-Egypt,Seer of Egypt,Pauline Gedge,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seer-of-egypt/9780143052944_cover/385863347-1-eng-CA/9780143052944_cover_coverbookpage_embed.jpg,"Huy has risen from lowly origins to become the Seer of the King. Yet Amunhotep's patronage is a blessing and a curse to Huy, who feels imprisoned by the gift Thoth has imposed on him and by the life he must live to keep it. Though rewarded by wealth and influence, Huy longs for the pleasures of those he sees around him, especially love, which he fears may be forever lost to him. But when the King calls for help, Huy has no choice: He cannot refuse. Although the life he's always known is coming to an end, his contribution to Egyptian history is only just beginning. "
https://49thshelf.com/Books/S/Seer-of-Egypt2,Seer of Egypt,Pauline Gedge,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/seer-of-egypt2/9780143052937_cover/410270652-1-eng-CA/9780143052937_cover_coverbookpage_embed.jpg,"Huy has risen from lowly origins to become the Seer of the King. Yet Amunhotep’s patronage is both a blessing and a curse to Huy, who feels imprisoned by the gift Thoth has imposed on him and by the life he must live to keep it. Though rewarded with wealth and influence, Huy longs for the pleasures of those he sees around him, especially love, which seems forever lost to him. But when the King calls for his help, Huy has no choice. The life he knew is coming to an end, but his contribution to Egyptian history is just beginning. "
https://49thshelf.com/Books/S/See-The-Child,See The Child,David Bergen,https://images.49thshelf.com/var/ezflow_site/storage/images/books/s/see-the-child/9781554688746_cover/424205122-1-eng-CA/9781554688746_cover_coverbookpage_embed.jpg,"When Harry, the local cop, knocks on Paul Unger’s door early one morning to give him the grim news -- that his son, Stephen, has been found drowned -- Paul descends into a grief that carries him to a dark and unfamiliar place. His comfortable life is overturned, and he is left to question his own role in his son’s death. When, several years later, a woman returns to town with a boy who might be Paul’s grandson, Paul imagines in both of them a path back to his son. "
