title_url,title,authors,image,description
https://49thshelf.com/Books/T/The-Rib-From-Which-I-Remake-the-World,The Rib From Which I Remake the World,Ed Kurtz,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rib-from-which-i-remake-the-world/9781771483902_cover/389736617-1-eng-CA/9781771483902_cover_coverbookpage_embed.jpg,
https://49thshelf.com/Books/T/The-Rise-Fall-of-Great-Powers,The Rise & Fall of Great Powers,Tom Rachman,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rise-fall-of-great-powers/9780385676953_cover/220542894-1-eng-CA/9780385676953_cover_coverbookpage_embed.jpg,"The New York Times and Globe & Mail-bestselling author of The Imperfectionists returns with an intricately woven novel about a bookseller who travels the world to make sense of her puzzling past.      Tooly Zylberberg tells a story: as a child, she was stolen from home, stashed at a den of thieves, then adopted by crooks there, who ended up raising her and even using the little girl in capers around the globe. But Tooly understands only fragments of what happened in Thailand, Italy, New York and beyond. Then, a desperate message reaches her musty bookshop in Wales, and she is lured into a journey that will reveal the secret of her childhood. Celebrated for his ingenious plotting, humanity and humor, Tom Rachman has written a novel that will amplify his reputation as one of the most exciting young writers today. "
https://49thshelf.com/Books/T/The-Rise-Fall-of-Great-Powers2,The Rise & Fall of Great Powers,Tom Rachman,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rise-fall-of-great-powers2/9780385676977_cover/420077594-1-eng-CA/9780385676977_cover_coverbookpage_embed.jpg,"The New York Times and Globe & Mail-bestselling author of The Imperfectionists returns with an intricately woven novel about a bookseller who travels the world to make sense of her puzzling past.     Tooly Zylberberg tells a story: as a child, she was stolen from home, stashed at a den of thieves, then adopted by crooks there, who ended up raising her and even using the little girl in capers around the globe. But Tooly understands only fragments of what happened in Thailand, Italy, New York and beyond. Then, a desperate message reaches her musty bookshop in Wales, and she is lured into a journey that will reveal the secret of her childhood. Celebrated for his ingenious plotting, humanity and humor, Tom Rachman has written a novel that will amplify his reputation as one of the most exciting young writers today. "
https://49thshelf.com/Books/T/The-Rise-of-the-Iron-Moon,The Rise of the Iron Moon,Stephen Hunt,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rise-of-the-iron-moon/9780765366108_cover/401452238-1-eng-CA/9780765366108_cover_coverbookpage_embed.jpg,"Rise of the Iron Moon is the newest novel set in Stephen Hunt's fantastical steampunk universeBorn into captivity as a product of the Royal Breeding House, friendless orphan Purity Drake suddenly finds herself on the run with a foreign vagrant after accidentally killing one of her guards.Her strange rescuer claims he is on the run himself from terrible forces who mean to enslave the Kingdom of Jackals much as they conquered his own nation. Purity doubts his story until reports of the terrible Army of Shadows, marching across the continent and sweeping all before them.Purity has felt little love for her country but realizes that the bad acts of a government gone wrong aren't enough to condemn an entire people.There's more to Purity than meets the eye. As Jackals girds itself for war against an army of near-unkillable beasts serving an ancient evil, it becomes clear that the country's only hope is a strange little royalist girl and the last, desperate plan of an escaped slave. "
https://49thshelf.com/Books/T/The-Rise-of-the-Iron-Moon2,The Rise of the Iron Moon,Stephen Hunt,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rise-of-the-iron-moon2/9780765327666_cover/239127853-1-eng-CA/9780765327666_cover_coverbookpage_embed.jpg,"Born into captivity as a product of the Royal Breeding House, friendless orphan Purity Drake suddenly finds herself on the run with a foreign vagrant after accidentally killing one of her guards.Her strange rescuer claims he is on the run himself from terrible forces who mean to enslave the Kingdom of Jackals much as they conquered his own nation. Purity doubts his story until reports of the terrible Army of Shadows, marching across the continent and sweeping all before them.Purity has felt little love for her country but realizes that the bad acts of a government gone wrong aren't enough to condemn an entire people. There's more to Purity than meets the eye. As Jackals girds itself for war against an army of near-unkillable beasts serving an ancient evil, it becomes clear that the country's only hope is a strange little royalist girl and the last, desperate plan of an escaped slave. "
https://49thshelf.com/Books/T/The-Rising-Tide,The Rising Tide,Mark Frutkin,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rising-tide/9780889844148_cover/415030163-1-eng-CA/9780889844148_cover_coverbookpage_embed.jpg,"Rumours of the Second Coming of Christ abound in the City of Masks. Michele Archenti, publisher, former priest, and current confidant to the mysterious skeleton-bearer Rodolpho, finds himself swept away by a rising tide of politics, ambition and lust in eighteenth-century Venice. "
https://49thshelf.com/Books/T/The-Rivals-of-Versailles2,The Rivals of Versailles,Sally Christie,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-rivals-of-versailles2/9781501102998_cover/407554102-1-eng-CA/9781501102998_cover_coverbookpage_embed.jpg,"And you thought sisters were a thing to fear. In this captivating follow-up to Sally Christie’s clever and absorbing debut, we meet none other than the Marquise de Pompadour, one of the greatest beauties of her generation and the first bourgeois mistress ever to grace the hallowed halls of Versailles.
The year is 1745 and King Louis XV’s bed is once again empty. Enter Jeanne-Antoinette Poisson, a beautiful girl from the middle classes. As a child, a fortune teller had told young Jeanne’s destiny: she would become the lover of a king and the most powerful woman in the land. Eventually connections, luck, and a little scheming pave her way to Versailles and into the King’s arms.
All too soon, conniving politicians and hopeful beauties seek to replace the bourgeois interloper with a more suitable mistress. As Jeanne, now the Marquise de Pompadour, takes on her many rivals—including a lustful lady-in-waiting, a precocious fourteen-year-old prostitute, and even a cousin of the notorious Nesle sisters—she helps the king give himself over to a life of luxury and depravity. Around them, war rages, discontent grows, and France inches ever closer to the Revolution.Told in Christie's celebrated witty and modern style, The Rivals of Versailles will delight and entrance fans as it brings to life the court of Louis XV in all its pride, pestilence, and glory. "
https://49thshelf.com/Books/T/The-River4,The River,Cheryl Kaye Tardif,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-river4/9781926997179_cover/134264469-1-eng-CA/9781926997179_cover_coverbookpage_embed.jpg,"How far do we go until we’ve gone too far? The South Nahanni River has a history of mysterious deaths, disappearances and headless corpses, but it may also hold the key to humanity’s survival?or its destruction. Seven years ago, Del Hawthorne’s father and three of his friends disappeared near the Nahanni River and were presumed dead. When one of the missing men stumbles onto the University grounds, alive but barely recognizable and aging before her eyes, Del is shocked. Especially when the man tells her something inconceivable. Her father is still alive! Gathering a group of volunteers, Del travels to the Nahanni River to rescue her father. There, she finds a secret underground river that plunges her into a technologically advanced world of nanobots and painful serums. Del uncovers a conspiracy of unimaginable horror, a plot that threatens to destroy us all. Will humanity be sacrificed for the taste of eternal life? At what point have we become…God? "
https://49thshelf.com/Books/T/The-River-Burns3,The River Burns,Trevor Ferguson,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-river-burns3/9781476726380_cover/407419590-1-eng-CA/9781476726380_cover_coverbookpage_embed.jpg,"Now in paperback, The River Burns is the newest critically acclaimed novel from Trevor Ferguson, one of Canada’s most celebrated writers.The River Burns tells the story of a small town in crisis, the mistakes people make, and the courage it takes to heal a community after a horrific act of destruction.Wakefield is a small town where a unique collection of longstanding citizens has lived mostly in harmony, accepting of each other’s foibles. But underneath the picture perfect exterior a battle rages between those who wish to preserve the historic single-lane covered bridge across the river, and the loggers who want it replaced with a modern alternative. As the days pass with no change in the dispute, tensions begin to boil over, friends turn against one another, and the town seethes with potential violence.Family man and second-generation logger Denny O’Farrell has been leading the charge to modernize the bridge. When the bureaucratic route fails to produce results, Denny and his friends need a new plan of action. But local police officer Ryan O’Farrell, Denny’s brother, is very worried about exactly how much Denny and friends are willing to risk in order to win the war. Swept up into the dispute, lawyer Raine Tara-Anne Cogshill, a newcomer hiding from her big-city past, hasn’t bargained on getting caught up in a summer of violence. "
https://49thshelf.com/Books/T/The-River-Killers,The River Killers,Bruce Burrows,https://images.49thshelf.com/var/ezflow_site/storage/images/books/t/the-river-killers/9781926971568_cover/407942074-1-eng-CA/9781926971568_cover_coverbookpage_embed.jpg,"anny Swanson, Department of Fisheries and Oceans employee and ex-fisherman, isn’t exactly upset when he’s reassigned from a desk job in Ottawa to an at-sea job on the West Coast. His superiors think they’re punishing him for his indiscretions, but Danny is pleased to be back on the Pacific, reconnecting with his old fishing buddies. Revisiting his past life, though, is trolling up some old memories, including a troubling incident from ten years ago, when Danny and his crew pulled up a deformed fish. It was young Billy who decided to bring the odd creature to the DFO in Vancouver for examination. Billy and the fish were never seen again. Now, Danny’s buddy is on his mind when he stumbles across a photo of the fish in the DFO databases, and suddenly, Danny can’t let Billy’s disappearance get swept under the rug. With the help of RCMP Sergeant Louise Karavchuk, Danny starts hauling old histories to the surface and delving into what he starts to believe may be a massive conspiracy. Who can Danny trust in his search for the truth? The organized, well-dressed officials of the DFO? Or his somewhat rowdy and rough-around-the-edges fishing buddies from the past? "
