isbn,title,authors,overview
9.78037E+12,Death Lives Next Door,['Gwendoline Butler'],"""Butler has the light touch of a master and a beguiling hero in the somberly monikered Coffin,"" says Booklist of Gwendoline Butler's critically acclaimed Inspector Coffin series. Following her many previous Coffin mysteries, Death Lives Next Door takes the reader back in time to Coffin's first case. Among her colleagues at Oxford University, Dr. Marion Manning is considered a brilliant scholar and an extraordinary woman. In the opinion of acquaintances, she is a kind, sensible person whose sound advice is as dependable as her own actions. Except for Joyo, the flamboyant character who shares her home as a housekeeper-companion, the respected don leads a solitary life, contentedly pursuing her studies. Why, then, should Marion Manning, wise, esteemed, successful, be the hapless victim of The Watcher - the strange, shadowy figure whose omnipresent eyes seem to follow her wherever she goes? Young Scotland Yard Inspector John Coffin, on the trail of a missing person in Oxford, finds that Marion Manning's problem is somehow involved with his quarry - and in a horrifying and unexpected manner, with murder."
9.78037E+12,The Sheikh's Heir,['Sharon Kendrick'],"<br>
<b>stop the press: UNEXPECTED BABY SHOCK FOR SHEIKH AND JACKSON PARTY-GIRL!</b> 
<p>Unconfirmed sources report that celebrity wedding planner Ella Jackson is pregnant! Currently single, Miss Jackson caused quite a stir at her princess-to-be sister's royal-studded engagement party last month when she tossed a glass of vintage champagne over Sheikh Hassan Al Abbas following a <i>very</i> public argument.</p>
<p>What happened in private is anybody's guess. But a palace insider confirmed that Miss Jackson was seen leaving the Sheikh's opulent suite the morning after the party....</p>
<p>Could this <i>Cinder-Ella</i> beat her sister to a royal title...and a royal heir?</p>"
9.78037E+12,Sheriff Needs A Nanny,['Teresa Carpenter'],"<br>
<b>Wanted:</b> levelheaded nanny to look after tiny baby. Smart, efficient, ordered. Experience of working with stubborn single dads an asset!
<p><b>Found!</b> Fun-loving, sweet, pretty former kindergarten teacher Nikki Rhodes. Excellent with babies (so good she'd make the perfect mother)!</p>
<p><b>Hired?</b> Not likely! Sheriff Trace Oliver is a man of order and military precision—parenting is no different from policing! Is it?</p>"
9.78037E+12,A Vow Of Obligation,"['Graham', 'Lynne']","<br>
<i><b>From making his bed...</b></i>
<p>On a mission to steal Navarre Cazier's laptop to save a fellow chambermaid's reputation, Tawny Blake is caught red-handed! Blushing brighter than her flame-coloured hair, she's sure she'll be fired. Then Cazier presents her with a shocking proposition....</p>
<p><i><b>To lying in it!</b></i></p>
<p>The infamous billionaire needs to stop the prying media digging into his scandalous past, and Tawny is the <i>perfect</i> diversion. The seduction of society beauties has always come effortlessly to Navarre, yet getting feisty Tawny to wear his ring, even if just in public, could be his greatest challenge yet!</p>"
9.78037E+12,Once A Cowboy...,['Patricia Thayer'],"<br>
<i>Always the most gorgeous man in town</i>
<p>That's how Alisa Merrick sees Kerry Springs's most unattainable rancher, Matt Rafferty. Alisa's a tough politician, but she's never forgotten their wonderful weekend together, or her heartbreak when he walked away.</p>
<p>Now Matt's back from the army and he's a changed man: quiet and closed off. Alisa can't help but wonder why—even though she's determined to steer clear. As she watches Matt adjust to civilian life, her old feelings surge up. For, deny it though she might, Matt will <i>always</i> be the cowboy for her.</p>"
9.78037E+12,Bought: Destitute Yet Defiant,['Sarah Morgan'],"<br>
<i>He's scarred, sexy and unashamedly Sicilian…</i>
<p>Silvio Brianza dragged himself out of the slums, but his scars run deep….</p>
<p class=""null1"">She's defiant, desirable and utterly disobedient!</p>
<p>Jessie still scrapes her living, scrubbing floors by day and singing in seedy bars by night…. Silvio had turned his back on that world, but now that he's found Jessie he's going to make her his!</p>
<p>Jessie may be powerless to resist Silvio's raw sexuality but no amount of dresses and diamonds can change their history. He's her enemy, he's shunned his past—<b>he'll never love the street girl she is.</b></p>"
9.78037E+12,The Tycoon Who Healed Her Heart,['Melissa James'],"<br>
<i>Rescued by the billionaire</i>
<p>Nestled away in the beautiful Swiss Alps, Armand Bollinger's exclusive resort is the perfect place for TV presenter Rachel Chase to escape her abusive marriage. Hopefully here, Rachel can begin to take control of her life.</p>
<p>Rachel may be prickly and vulnerablebut that doesn't stop Armand from finding her achingly attractive. She's built a fortress around her heart, yet Armand knows she must face her demons—and he's the man to help her. Perhaps together they can knock that fortress down.</p>"
9.78037E+12,Cold Case Reunion,['Kimberly Van Meter'],"<br>
A passion that's anything but cold
<p>Fifteen years ago, Mya Jonson thought her life had ended. Pregnant and alone, she found strength in her people and the beauty of the Pacific Coast reservation. Now her lover has returned, chasing a killer, and she doesn't dare trust him.</p>
<p>For Angelo Tucker, every memory is proof of his failings. Not strong enough to lead the tribe, not smart enough to catch his brother's killer Coming back was the last thing he wanted. Especially when he sees Mya—and feels a passion he'd long since set aside. But when a fellow FBI agent is murdered and Mya's life is in danger, Angelo knows he must track the killer whatever the cost.or risk losing Mya forever</p>"
9.78037E+12,The Oracle Rebounds,['Allison Van Diepen'],"<br>
As the ""oracle of dating,"" Kayla is supposed to have all the answers about love and relationships. She's supposed to <i>have</i> the perfect relationship. But now that Jared is ""taking a step back,"" Kayla feels like a total fraud.
<p>So the expert on dating starts taking her own rebound advice—and some from her friends—and stops moping around. Yeah, there are other possibilities out there—including the beyond-cute French foreign exchange student she's showing around town.</p>
<p>But when controversy erupts about the Oracle's advice, Kayla is sent reeling once again. Will anything work out for her this year? Yet when her friends start seriously needing the Oracle, Kayla begins to focus on what really matters: Viv, Sharese, Amy and Ryan, her true-blue buds. And suddenly, everything starts making sense again.</p>"
9.78037E+12,Count Toussaint's Baby,['Kate Hewitt'],"<br>
French count Jean-Luc Toussaint had never seen such a beauty! Under the glare of the spotlight, the spirited performance of the waiflike pianist mesmerized him. He wanted to taste that passion for himself!
<p>Swept off her feet by the count, Abigail Summers naively thought she'd be forever wined and dined at his château. Instead, the unassuming starlet found herself abandoned, penniless, pregnant… and waiting with bated breath for the brooding Frenchman to read the newspaper headlines and come thundering back to take what was his….</p>"
